               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 142,            0.021745,            0.010748,          0.00091549,             0.91336,             0.89469,             0.92529,             0.64014,            0.033158,           0.0074377,            0.003029,           0.0030205,           0.0030205,           0.0030205
                 143,            0.021347,             0.01057,          0.00082611,             0.92457,             0.89301,             0.92801,             0.63648,            0.033675,           0.0072532,           0.0036547,            0.002971,            0.002971,            0.002971
                 144,            0.021125,             0.01049,           0.0010097,             0.91043,              0.8865,             0.92368,             0.63378,             0.03433,           0.0073109,           0.0041044,           0.0029215,           0.0029215,           0.0029215
                 145,            0.020779,             0.01027,          0.00089785,             0.92541,              0.9008,             0.93757,             0.65029,            0.033009,           0.0071285,           0.0028267,            0.002872,            0.002872,            0.002872
                 146,            0.021635,            0.010571,          0.00083063,             0.92723,              0.9163,             0.94144,             0.64928,            0.033037,           0.0070999,           0.0024509,           0.0028225,           0.0028225,           0.0028225
                 147,            0.021036,             0.01082,          0.00088702,             0.90089,             0.92208,             0.94265,             0.65145,            0.033348,           0.0071708,           0.0029161,            0.002773,            0.002773,            0.002773
                 148,            0.020771,            0.010299,          0.00073224,             0.90257,             0.89862,             0.94096,             0.64221,            0.032783,           0.0073473,            0.002423,           0.0027235,           0.0027235,           0.0027235
                 149,            0.020995,             0.01058,          0.00077389,             0.88814,             0.92157,             0.94116,             0.64158,            0.033742,           0.0073171,           0.0028436,            0.002674,            0.002674,            0.002674
                 150,            0.020951,            0.010201,          0.00095532,             0.93163,             0.90388,              0.9414,             0.64584,            0.033185,           0.0072256,           0.0031292,           0.0026245,           0.0026245,           0.0026245
                 151,              0.0207,            0.010453,          0.00081201,             0.93139,             0.90936,             0.94256,             0.65059,            0.033271,           0.0073337,            0.002569,            0.002575,            0.002575,            0.002575
